BIC,Beneficiary Identification Code (BIC) Table,,
BIC,,,
BIC,,,
BIC,A = Primary claimant,,
BIC,"B = Aged wife, age 62 or over (1st claimant)",,
BIC,"B1 = Aged husband, age 62 or over (1st claimant)",,
BIC,"B2 = Young wife, with a child in her care (1st claimant)",,
BIC,B3 = Aged wife (2nd claimant),,
BIC,B4 = Aged husband (2nd claimant),,
BIC,B5 = Young wife (2nd claimant),,
BIC,"B6 = Divorced wife, age 62 or over (1st claimant)",,
BIC,B7 = Young wife (3rd claimant),,
BIC,B8 = Aged wife (3rd claimant),,
BIC,B9 = Divorced wife (2nd claimant),,
BIC,BA = Aged wife (4th claimant),,
BIC,BD = Aged wife (5th claimant),,
BIC,BG = Aged husband (3rd claimant),,
BIC,BH = Aged husband (4th claimant),,
BIC,BJ = Aged husband (5th claimant),,
BIC,BK = Young wife (4th claimant),,
BIC,BL = Young wife (5th claimant),,
BIC,BN = Divorced wife (3rd claimant),,
BIC,BP = Divorced wife (4th claimant),,
BIC,BQ = Divorced wife (5th claimant),,
BIC,BR = Divorced husband (1st claimant),,
BIC,BT = Divorced husband (2nd claimant),,
BIC,BW = Young husband (2nd claimant),,
BIC,BY = Young husband (1st claimant),,
BIC,"C1-C9,CA-CZ = Child (includes minor, student or disabled child)",,
BIC,"D = Aged widow, 60 or over (1st claimant)",,
BIC,"D1 = Aged widower, age 60 or over (1st claimant)",,
BIC,D2 = Aged widow (2nd claimant),,
BIC,D3 = Aged widower (2nd claimant),,
BIC,D4 = Widow (remarried after attainment of age 60) (1st claimant),,
BIC,D5 = Widower (remarried after attainment of age 60) (1st,,
BIC,claimant),,
BIC,"D6 = Surviving divorced wife, age 60 or over (1st claimant)",,
BIC,D7 = Surviving divorced wife (2nd claimant),,
BIC,D8 = Aged widow (3rd claimant),,
BIC,D9 = Remarried widow (2nd claimant),,
BIC,DA = Remarried widow (3rd claimant),,
BIC,DD = Aged widow (4th claimant),,
BIC,DG = Aged widow (5th claimant),,
BIC,Beneficiary Identification Code (BIC) Table,,
BIC,,,
BIC,,,
BIC,DH = Aged widower (3rd claimant),,
BIC,DJ = Aged widower (4th claimant),,
BIC,DK = Aged widower (5th claimant),,
BIC,DL = Remarried widow (4th claimant),,
BIC,DM = Surviving divorced husband (2nd claimant),,
BIC,DN = Remarried widow (5th claimant),,
BIC,DP = Remarried widower (2nd claimant),,
BIC,DQ = Remarried widower (3rd claimant),,
BIC,DR = Remarried widower (4th claimant),,
BIC,DS = Surviving divorced husband (3rd claimant),,
BIC,DT = Remarried widower (5th claimant),,
BIC,DV = Surviving divorced wife (3rd claimant),,
BIC,DW = Surviving divorced wife (4th claimant),,
BIC,DX = Surviving divorced husband (4th claimant),,
BIC,DY = Surviving divorced wife (5th claimant),,
BIC,DZ = Surviving divorced husband (5th claimant),,
BIC,E = Mother (widow) (1st claimant),,
BIC,E1 = Surviving divorced mother (1st claimant),,
BIC,E2 = Mother (widow) (2nd claimant),,
BIC,E3 = Surviving divorced mother (2nd claimant),,
BIC,E4 = Father (widower) (1st claimant),,
BIC,E5 = Surviving divorced father (widower) (1st claimant),,
BIC,E6 = Father (widower) (2nd claimant),,
BIC,E7 = Mother (widow) (3rd claimant),,
BIC,E8 = Mother (widow) (4th claimant),,
BIC,E9 = Surviving divorced father (widower) (2nd claimant),,
BIC,EA = Mother (widow) (5th claimant),,
BIC,EB = Surviving divorced mother (3rd claimant),,
BIC,EC = Surviving divorced mother (4th claimant),,
BIC,ED = Surviving divorced mother (5th claimant,,
BIC,EF = Father (widower) (3rd claimant),,
BIC,EG = Father (widower) (4th claimant),,
BIC,EH = Father (widower) (5th claimant),,
BIC,EJ = Surviving divorced father (3rd claimant),,
BIC,EK = Surviving divorced father (4th claimant),,
BIC,EM = Surviving divorced father (5th claimant),,
BIC,F1 = Father,,
BIC,F2 = Mother,,
BIC,F3 = Stepfather,,
BIC,F4 = Stepmother,,
BIC,F5 = Adopting father,,
BIC,F6 = Adopting mother,,
BIC,Beneficiary Identification Code (BIC) Table,,
BIC,,,
BIC,,,
BIC,F7 = Second alleged father,,
BIC,F8 = Second alleged mother,,
BIC,J1 = Primary prouty entitled to HIB (less than 3 Q.C.) (general,,
BIC,fund),,
BIC,J2 = Primary prouty entitled to HIB (over 2 Q.C.) (RSI trust fund),,
BIC,J3 = Primary prouty not entitled to HIB (less than 3 Q.C.) (general,,
BIC,fund),,
BIC,J4 = Primary prouty not entitled to HIB (over 2 Q.C.) (RSI trust,,
BIC,fund),,
BIC,K1 = Prouty wife entitled to HIB (less than 3 Q.C.) (general fund),,
BIC,(1st claimant),,
BIC,K2 = Prouty wife entitled to HIB (over 2 Q.C.) (RSI trust fund) (1st,,
BIC,claimant),,
BIC,K3 = Prouty wife not entitled to HIB (less than 3 Q.C.) (general,,
BIC,fund) (1st claimant),,
BIC,K4 = Prouty wife not entitled to HIB (over 2 Q.C.) (RSI trust fund),,
BIC,(1st claimant),,
BIC,K5 = Prouty wife entitled to HIB (less than 3 Q.C.) (general fund),,
BIC,(2nd claimant),,
BIC,K6 = Prouty wife entitled to HIB (over 2 Q.C.) (RSI trust fund),,
BIC,(2nd claimant),,
BIC,K7 = Prouty wife not entitled to HIB (less than 3 Q.C.) (general,,
BIC,fund) (2nd claimant),,
BIC,K8 = Prouty wife not entitled to HIB (over 2 Q.C.) (RSI trust fund),,
BIC,(2nd claimant),,
BIC,K9 = Prouty wife entitled to HIB (less than 3 Q.C.) (general fund),,
BIC,(3rd claimant),,
BIC,KA = Prouty wife entitled to HIB (over 2 Q.C.) (RSI trust fund),,
BIC,(3rd claimant),,
BIC,KB = Prouty wife not entitled to HIB (less than 3 Q.C.) (general,,
BIC,fund) (3rd claimant),,
BIC,KC = Prouty wife not entitled to HIB (over 2 Q.C.) (RSI trust fund),,
BIC,(3rd claimant),,
BIC,KD = Prouty wife entitled to HIB (less than 3 Q.C.) (general fund),,
BIC,(4th claimant),,
BIC,KE = Prouty wife entitled to HIB (over 2 Q.C) (4th claimant),,
BIC,KF = Prouty wife not entitled to HIB (less than 3 Q.C.) (4th,,
BIC,claimant),,
BIC,KG = Prouty wife not entitled to HIB (over 2 Q.C.) (4th claimant),,
BIC,KH = Prouty wife entitled to HIB (less than 3 Q.C.) (5th claimant),,
BIC,KJ = Prouty wife entitled to HIB (over 2 Q.C.) (5th claimant),,
BIC,KL = Prouty wife not entitled to HIB (less than 3 Q.C.) (5th,,
BIC,claimant),,
BIC,Beneficiary Identification Code (BIC) Table,,
BIC,,,
BIC,,,
BIC,KM = Prouty wife not entitled to HIB (over 2 Q.C.) (5th claimant),,
BIC,M = Uninsured-not qualified for deemed HIB,,
BIC,M1 = Uninsured-qualified but refused HIB,,
BIC,T = Uninsured-entitled to HIB under deemed or renal provisions,,
BIC,TA = MQGE (primary claimant),,
BIC,TB = MQGE aged spouse (first claimant),,
BIC,TC = MQGE disabled adult child (first claimant),,
BIC,TD = MQGE aged widow(er) (first claimant),,
BIC,TE = MQGE young widow(er) (first claimant),,
BIC,TF = MQGE parent (male),,
BIC,TG = MQGE aged spouse (second claimant),,
BIC,TH = MQGE aged spouse (third claimant),,
BIC,TJ = MQGE aged spouse (fourth claimant),,
BIC,TK = MQGE aged spouse (fifth claimant),,
BIC,TL = MQGE aged widow(er) (second claimant),,
BIC,TM = MQGE aged widow(er) (third claimant),,
BIC,TN = MQGE aged widow(er) (fourth claimant),,
BIC,TP = MQGE aged widow(er) (fifth claimant),,
BIC,TQ = MQGE parent (female),,
BIC,TR = MQGE young widow(er) (second claimant),,
BIC,TS = MQGE young widow(er) (third claimant),,
BIC,TT = MQGE young widow(er) (fourth claimant),,
BIC,TU = MQGE young widow(er) (fifth claimant),,
BIC,TV = MQGE disabled widow(er) fifth claimant,,
BIC,TW = MQGE disabled widow(er) first claimant,,
BIC,TX = MQGE disabled widow(er) second claimant,,
BIC,TY = MQGE disabled widow(er) third claimant,,
BIC,TZ = MQGE disabled widow(er) fourth claimant,,
BIC,T2-T9 = Disabled child (second to ninth claimant),,
BIC,"W = Disabled widow, age 50 or over (1st claimant)",,
BIC,"W1 = Disabled widower, age 50 or over (1st claimant)",,
BIC,W2 = Disabled widow (2nd claimant),,
BIC,W3 = Disabled widower (2nd claimant),,
BIC,W4 = Disabled widow (3rd claimant),,
BIC,W5 = Disabled widower (3rd claimant),,
BIC,W6 = Disabled surviving divorced wife (1st claimant),,
BIC,W7 = Disabled surviving divorced wife (2nd claimant),,
BIC,W8 = Disabled surviving divorced wife (3rd claimant),,
BIC,W9 = Disabled widow (4th claimant),,
BIC,WB = Disabled widower (4th claimant),,
BIC,WC = Disabled surviving divorced wife (4th claimant),,
BIC,WF = Disabled widow (5th claimant),,
BIC,Beneficiary Identification Code (BIC) Table,,
BIC,,,
BIC,,,
BIC,WG = Disabled widower (5th claimant),,
BIC,WJ = Disabled surviving divorced wife (5th claimant),,
BIC,WR = Disabled surviving divorced husband (1st claimant),,
BIC,WT = Disabled surviving divorced husband (2nd claimant),,
BIC,Railroad Retirement Board:,,
BIC,NOTE:,,
BIC,Employee: a Medicare beneficiary who is still working or a worker,,
BIC,who died before retirement,,
BIC,Annuitant: a person who retired under the railroad retirement act,,
BIC,on or after 03/01/37,,
BIC,Pensioner: a person who retired prior to 03/01/37 and was,,
BIC,included in the railroad retirement act,,
BIC,10 = Retirement - employee or annuitant,,
BIC,80 = RR pensioner (age or disability),,
BIC,14 = Spouse of RR employee or annuitant (husband or wife),,
